omega,ln(omega),real,imaginary,gain,phase,phase(degree)
0.1,-1,0.001546038,-3.4712E-06,-56.21557301,-0.002245218,-0.128641528
0.102329299,-0.99,0.001546039,-3.55206E-06,-56.21556571,-0.002297518,-0.13163809
0.104712855,-0.98,0.001546041,-3.6348E-06,-56.21555807,-0.002351036,-0.134704459
0.107151931,-0.97,0.001546042,-3.71948E-06,-56.21555007,-0.002405801,-0.137842262
0.10964782,-0.96,0.001546043,-3.80612E-06,-56.21554169,-0.002461842,-0.141053163
0.112201845,-0.95,0.001546044,-3.89479E-06,-56.21553292,-0.002519188,-0.144338866
0.114815362,-0.94,0.001546046,-3.98552E-06,-56.21552374,-0.002577871,-0.147701114
0.117489755,-0.93,0.001546047,-4.07836E-06,-56.21551412,-0.00263792,-0.15114169
0.120226443,-0.92,0.001546049,-4.17337E-06,-56.21550404,-0.002699368,-0.15466242
0.123026877,-0.91,0.00154605,-4.27059E-06,-56.2154935,-0.002762248,-0.158265172
0.125892541,-0.9,0.001546052,-4.37007E-06,-56.21548245,-0.002826593,-0.161951857
0.128824955,-0.89,0.001546054,-4.47188E-06,-56.21547089,-0.002892437,-0.165724431
0.131825674,-0.88,0.001546056,-4.57605E-06,-56.21545878,-0.002959815,-0.169584896
0.134896288,-0.87,0.001546058,-4.68266E-06,-56.2154461,-0.003028762,-0.173535301
0.138038426,-0.86,0.00154606,-4.79174E-06,-56.21543282,-0.003099316,-0.177577742
0.141253754,-0.85,0.001546062,-4.90337E-06,-56.21541892,-0.003171514,-0.181714364
0.144543977,-0.84,0.001546064,-5.0176E-06,-56.21540436,-0.003245394,-0.185947361
0.147910839,-0.83,0.001546066,-5.1345E-06,-56.21538912,-0.003320995,-0.190278981
0.151356125,-0.82,0.001546069,-5.25411E-06,-56.21537315,-0.003398357,-0.194711523
0.154881662,-0.81,0.001546071,-5.37652E-06,-56.21535644,-0.003477522,-0.199247339
0.158489319,-0.8,0.001546074,-5.50178E-06,-56.21533893,-0.003558531,-0.203888835
0.16218101,-0.79,0.001546077,-5.62995E-06,-56.2153206,-0.003641428,-0.208638478
0.165958691,-0.78,0.00154608,-5.76112E-06,-56.21530141,-0.003726257,-0.213498786
0.169824365,-0.77,0.001546083,-5.89534E-06,-56.21528132,-0.003813062,-0.218472341
0.173780083,-0.76,0.001546086,-6.03269E-06,-56.21526027,-0.003901889,-0.223561783
0.177827941,-0.75,0.001546089,-6.17324E-06,-56.21523824,-0.003992786,-0.228769813
0.181970086,-0.74,0.001546093,-6.31706E-06,-56.21521516,-0.004085802,-0.234099198
0.186208714,-0.73,0.001546097,-6.46424E-06,-56.215191,-0.004180985,-0.239552767
0.190546072,-0.72,0.001546101,-6.61485E-06,-56.2151657,-0.004278385,-0.245133415
0.19498446,-0.71,0.001546105,-6.76898E-06,-56.21513921,-0.004378056,-0.250844107
0.199526231,-0.7,0.001546109,-6.92669E-06,-56.21511146,-0.004480049,-0.256687875
0.204173794,-0.69,0.001546113,-7.08808E-06,-56.21508242,-0.004584418,-0.262667824
0.208929613,-0.68,0.001546118,-7.25323E-06,-56.215052,-0.00469122,-0.268787129
0.213796209,-0.67,0.001546123,-7.42224E-06,-56.21502015,-0.004800511,-0.275049042
0.218776162,-0.66,0.001546128,-7.59518E-06,-56.21498679,-0.004912349,-0.281456889
0.223872114,-0.65,0.001546133,-7.77216E-06,-56.21495187,-0.005026794,-0.288014074
0.229086765,-0.64,0.001546139,-7.95326E-06,-56.2149153,-0.005143906,-0.294724084
0.234422882,-0.63,0.001546145,-8.13859E-06,-56.214877,-0.005263747,-0.301590482
0.239883292,-0.62,0.001546151,-8.32824E-06,-56.2148369,-0.005386381,-0.308616918
0.245470892,-0.61,0.001546157,-8.52231E-06,-56.21479491,-0.005511874,-0.315807129
0.251188643,-0.6,0.001546164,-8.72091E-06,-56.21475094,-0.005640292,-0.323164935
0.257039578,-0.59,0.001546171,-8.92414E-06,-56.2147049,-0.005771703,-0.330694248
0.263026799,-0.58,0.001546178,-9.13211E-06,-56.21465669,-0.005906178,-0.338399074
0.26915348,-0.57,0.001546186,-9.34493E-06,-56.21460621,-0.006043787,-0.346283508
0.27542287,-0.56,0.001546194,-9.56272E-06,-56.21455334,-0.006184605,-0.354351746
0.281838293,-0.55,0.001546203,-9.78559E-06,-56.21449799,-0.006328705,-0.362608078
0.28840315,-0.54,0.001546211,-1.00137E-05,-56.21444003,-0.006476165,-0.371056898
0.295120923,-0.53,0.001546221,-1.02471E-05,-56.21437933,-0.006627062,-0.379702702
0.301995172,-0.52,0.00154623,-1.04859E-05,-56.21431577,-0.006781478,-0.388550091
0.309029543,-0.51,0.001546241,-1.07303E-05,-56.21424922,-0.006939495,-0.397603776
0.316227766,-0.5,0.001546251,-1.09804E-05,-56.21417953,-0.007101196,-0.406868576
0.323593657,-0.49,0.001546262,-1.12364E-05,-56.21410656,-0.007266668,-0.416349425
0.331131121,-0.48,0.001546274,-1.14983E-05,-56.21403015,-0.007435999,-0.426051374
0.338844156,-0.47,0.001546286,-1.17664E-05,-56.21395013,-0.007609279,-0.435979591
0.34673685,-0.46,0.001546299,-1.20407E-05,-56.21386634,-0.007786601,-0.446139367
0.354813389,-0.45,0.001546313,-1.23214E-05,-56.21377861,-0.007968058,-0.456536117
0.363078055,-0.44,0.001546327,-1.26086E-05,-56.21368674,-0.008153749,-0.467175384
0.371535229,-0.43,0.001546341,-1.29026E-05,-56.21359053,-0.008343771,-0.478062841
0.380189396,-0.42,0.001546357,-1.32035E-05,-56.2134898,-0.008538226,-0.489204296
0.389045145,-0.41,0.001546373,-1.35113E-05,-56.21338431,-0.008737218,-0.500605694
0.398107171,-0.4,0.00154639,-1.38264E-05,-56.21327386,-0.008940853,-0.512273121
0.407380278,-0.39,0.001546407,-1.41488E-05,-56.21315819,-0.009149239,-0.524212805
0.416869383,-0.38,0.001546426,-1.44788E-05,-56.21303707,-0.009362489,-0.536431122
0.426579519,-0.37,0.001546445,-1.48165E-05,-56.21291025,-0.009580716,-0.548934602
0.436515832,-0.36,0.001546466,-1.51621E-05,-56.21277744,-0.009804037,-0.561729925
0.446683592,-0.35,0.001546487,-1.55158E-05,-56.21263838,-0.01003257,-0.574823933
0.45708819,-0.34,0.001546509,-1.58777E-05,-56.21249276,-0.010266439,-0.58822363
0.467735141,-0.33,0.001546532,-1.62481E-05,-56.21234027,-0.010505768,-0.601936184
0.478630092,-0.32,0.001546557,-1.66272E-05,-56.2121806,-0.010750686,-0.615968937
0.489778819,-0.31,0.001546582,-1.70151E-05,-56.2120134,-0.011001323,-0.630329402
0.501187234,-0.3,0.001546609,-1.74122E-05,-56.21183832,-0.011257815,-0.645025276
0.512861384,-0.29,0.001546637,-1.78185E-05,-56.21165498,-0.011520298,-0.660064435
0.52480746,-0.28,0.001546666,-1.82344E-05,-56.211463,-0.011788913,-0.675454944
0.537031796,-0.27,0.001546697,-1.866E-05,-56.21126197,-0.012063804,-0.691205064
0.549540874,-0.26,0.001546729,-1.90955E-05,-56.21105146,-0.01234512,-0.70732325
0.562341325,-0.25,0.001546763,-1.95413E-05,-56.21083103,-0.01263301,-0.723818161
0.575439937,-0.24,0.001546798,-1.99976E-05,-56.2106002,-0.01292763,-0.740698666
0.588843655,-0.23,0.001546835,-2.04645E-05,-56.21035849,-0.013229139,-0.757973843
0.602559586,-0.22,0.001546874,-2.09424E-05,-56.21010538,-0.013537699,-0.775652991
0.616595002,-0.21,0.001546914,-2.14315E-05,-56.20984034,-0.013853475,-0.793745635
0.630957344,-0.2,0.001546957,-2.19321E-05,-56.20956281,-0.014176638,-0.812261525
0.645654229,-0.19,0.001547001,-2.24445E-05,-56.20927218,-0.014507363,-0.831210652
0.660693448,-0.18,0.001547048,-2.29689E-05,-56.20896786,-0.014845827,-0.850603246
0.676082975,-0.17,0.001547097,-2.35056E-05,-56.20864918,-0.015192215,-0.870449786
0.691830971,-0.16,0.001547148,-2.4055E-05,-56.20831547,-0.015546712,-0.890761006
0.707945784,-0.15,0.001547201,-2.46173E-05,-56.20796603,-0.015909512,-0.9115479
0.72443596,-0.14,0.001547257,-2.51928E-05,-56.20760011,-0.016280811,-0.932821734
0.741310241,-0.13,0.001547315,-2.57819E-05,-56.20721693,-0.016660809,-0.954594046
0.758577575,-0.12,0.001547377,-2.63849E-05,-56.20681568,-0.017049714,-0.976876659
0.776247117,-0.11,0.001547441,-2.70021E-05,-56.2063955,-0.017447737,-0.999681685
0.794328235,-0.1,0.001547508,-2.76338E-05,-56.20595551,-0.017855094,-1.023021535
0.812830516,-0.09,0.001547579,-2.82805E-05,-56.20549477,-0.018272008,-1.046908928
0.831763771,-0.08,0.001547653,-2.89425E-05,-56.20501229,-0.018698705,-1.071356895
0.851138038,-0.07,0.00154773,-2.96201E-05,-56.20450706,-0.01913542,-1.096378794
0.87096359,-0.06,0.001547811,-3.03137E-05,-56.20397799,-0.01958239,-1.121988312
0.891250938,-0.05,0.001547895,-3.10238E-05,-56.20342396,-0.020039861,-1.148199481
0.912010839,-0.04,0.001547984,-3.17506E-05,-56.2028438,-0.020508084,-1.175026682
0.933254301,-0.03,0.001548077,-3.24948E-05,-56.20223627,-0.020987317,-1.20248466
0.954992586,-0.02,0.001548174,-3.32565E-05,-56.20160007,-0.021477822,-1.230588529
0.977237221,-0.01,0.001548276,-3.40364E-05,-56.20093385,-0.02197987,-1.259353787
1,0,0.001548383,-3.48348E-05,-56.2002362,-0.022493739,-1.288796326
1.023292992,0.01,0.001548494,-3.56522E-05,-56.19950563,-0.023019714,-1.318932442
1.047128548,0.02,0.001548611,-3.64891E-05,-56.19874058,-0.023558085,-1.349778848
1.071519305,0.03,0.001548734,-3.73459E-05,-56.19793942,-0.024109153,-1.381352689
1.096478196,0.04,0.001548862,-3.82232E-05,-56.19710045,-0.024673223,-1.413671549
1.122018454,0.05,0.001548997,-3.91214E-05,-56.19622189,-0.025250612,-1.44675347
1.148153621,0.06,0.001549137,-4.00412E-05,-56.19530185,-0.025841641,-1.480616962
1.174897555,0.07,0.001549285,-4.09829E-05,-56.19433838,-0.026446643,-1.515281022
1.202264435,0.08,0.001549439,-4.19473E-05,-56.19332942,-0.027065958,-1.550765143
1.230268771,0.09,0.0015496,-4.29348E-05,-56.19227282,-0.027699934,-1.587089337
1.258925412,0.1,0.00154977,-4.39461E-05,-56.19116633,-0.028348932,-1.624274145
1.288249552,0.11,0.001549947,-4.49817E-05,-56.19000759,-0.029013318,-1.662340658
1.318256739,0.12,0.001550132,-4.60423E-05,-56.18879412,-0.02969347,-1.701310533
1.348962883,0.13,0.001550327,-4.71286E-05,-56.18752334,-0.030389778,-1.741206013
1.380384265,0.14,0.00155053,-4.82411E-05,-56.18619253,-0.031102639,-1.782049945
1.412537545,0.15,0.001550744,-4.93807E-05,-56.18479885,-0.031832463,-1.823865804
1.445439771,0.16,0.001550967,-5.05479E-05,-56.18333933,-0.032579672,-1.866677708
1.479108388,0.17,0.001551201,-5.17435E-05,-56.18181083,-0.033344698,-1.910510447
1.513561248,0.18,0.001551446,-5.29683E-05,-56.1802101,-0.034127985,-1.955389501
1.548816619,0.19,0.001551702,-5.4223E-05,-56.1785337,-0.034929991,-2.001341071
1.584893192,0.2,0.001551971,-5.55084E-05,-56.17677806,-0.035751186,-2.048392097
1.621810097,0.21,0.001552252,-5.68255E-05,-56.17493942,-0.036592055,-2.09657029
1.659586907,0.22,0.001552547,-5.81749E-05,-56.17301384,-0.037453093,-2.14590416
1.698243652,0.23,0.001552855,-5.95576E-05,-56.17099718,-0.038334814,-2.196423045
1.737800829,0.24,0.001553178,-6.09745E-05,-56.16888514,-0.039237744,-2.248157141
1.77827941,0.25,0.001553517,-6.24266E-05,-56.16667318,-0.040162427,-2.301137538
1.819700859,0.26,0.001553871,-6.39148E-05,-56.16435655,-0.04110942,-2.355396253
1.862087137,0.27,0.001554243,-6.54401E-05,-56.16193029,-0.042079299,-2.410966266
1.905460718,0.28,0.001554632,-6.70036E-05,-56.15938917,-0.043072659,-2.467881559
1.9498446,0.29,0.001555039,-6.86063E-05,-56.15672775,-0.044090109,-2.526177158
1.995262315,0.3,0.001555466,-7.02494E-05,-56.15394029,-0.04513228,-2.585889176
2.041737945,0.31,0.001555913,-7.19341E-05,-56.1510208,-0.046199823,-2.647054853
2.089296131,0.32,0.001556381,-7.36615E-05,-56.14796299,-0.047293407,-2.709712615
2.13796209,0.33,0.001556872,-7.54329E-05,-56.14476028,-0.048413725,-2.773902111
2.187761624,0.34,0.001557385,-7.72496E-05,-56.14140575,-0.049561491,-2.83966428
2.238721139,0.35,0.001557924,-7.9113E-05,-56.13789217,-0.050737444,-2.907041397
2.290867653,0.36,0.001558487,-8.10244E-05,-56.13421194,-0.051942345,-2.976077142
2.344228815,0.37,0.001559078,-8.29853E-05,-56.13035712,-0.053176982,-3.046816656
2.398832919,0.38,0.001559697,-8.49973E-05,-56.12631936,-0.054442171,-3.119306616
2.454708916,0.39,0.001560345,-8.70618E-05,-56.12208993,-0.055738753,-3.193595302
2.511886432,0.4,0.001561024,-8.91807E-05,-56.11765964,-0.057067601,-3.269732677
2.570395783,0.41,0.001561735,-9.13556E-05,-56.1130189,-0.058429617,-3.347770466
2.630267992,0.42,0.00156248,-9.35882E-05,-56.10815761,-0.059825737,-3.427762246
2.691534804,0.43,0.001563261,-9.58805E-05,-56.10306522,-0.06125693,-3.509763532
2.754228703,0.44,0.001564079,-9.82344E-05,-56.09773063,-0.062724199,-3.593831884
2.818382931,0.45,0.001564936,-0.000100652,-56.09214221,-0.064228588,-3.680027007
2.884031503,0.46,0.001565834,-0.000103135,-56.08628778,-0.065771177,-3.76841086
2.951209227,0.47,0.001566774,-0.000105687,-56.08015454,-0.06735309,-3.859047785
3.01995172,0.48,0.00156776,-0.000108309,-56.07372907,-0.068975493,-3.952004627
3.090295433,0.49,0.001568793,-0.000111004,-56.06699729,-0.070639599,-4.047350871
3.16227766,0.5,0.001569876,-0.000113774,-56.05994443,-0.072346669,-4.145158795
3.235936569,0.51,0.00157101,-0.000116622,-56.05255499,-0.074098017,-4.245503621
3.311311215,0.52,0.001572199,-0.000119552,-56.04481269,-0.075895009,-4.348463684
3.388441561,0.53,0.001573444,-0.000122565,-56.03670047,-0.07773907,-4.454120615
3.467368505,0.54,0.00157475,-0.000125666,-56.0282004,-0.079631686,-4.562559531
3.548133892,0.55,0.001576118,-0.000128857,-56.01929368,-0.081574407,-4.673869247
3.630780548,0.56,0.001577552,-0.000132142,-56.00996054,-0.083568852,-4.788142498
3.715352291,0.57,0.001579055,-0.000135525,-56.00018026,-0.085616711,-4.905476179
3.801893963,0.58,0.001580631,-0.000139009,-55.98993106,-0.087719753,-5.025971603
3.89045145,0.59,0.001582282,-0.000142599,-55.97919005,-0.089879828,-5.149734786
3.981071706,0.6,0.001584013,-0.0001463,-55.96793323,-0.092098873,-5.276876743
4.073802778,0.61,0.001585828,-0.000150115,-55.95613534,-0.09437892,-5.407513815
4.168693835,0.62,0.001587731,-0.000154049,-55.94376988,-0.096722098,-5.541768021
4.265795188,0.63,0.001589726,-0.000158109,-55.93080897,-0.099130643,-5.679767438
4.365158322,0.64,0.001591817,-0.000162299,-55.91722334,-0.101606901,-5.821646612
4.466835922,0.65,0.00159401,-0.000166624,-55.90298219,-0.104153343,-5.967547005
4.570881896,0.66,0.001596309,-0.000171093,-55.88805317,-0.106772567,-6.117617477
4.677351413,0.67,0.001598721,-0.00017571,-55.87240224,-0.109467309,-6.272014812
4.786300923,0.68,0.001601249,-0.000180483,-55.85599361,-0.112240454,-6.430904288
4.897788194,0.69,0.001603901,-0.000185421,-55.83878964,-0.115095044,-6.594460293
5.011872336,0.7,0.001606683,-0.000190529,-55.82075072,-0.118034296,-6.762867005
5.12861384,0.71,0.0016096,-0.000195818,-55.80183517,-0.121061607,-6.936319126
5.248074602,0.72,0.00161266,-0.000201297,-55.78199913,-0.124180572,-7.115022681
5.370317964,0.73,0.00161587,-0.000206975,-55.76119643,-0.127395001,-7.299195895
5.495408739,0.74,0.001619237,-0.000212862,-55.73937845,-0.130708932,-7.489070152
5.623413252,0.75,0.00162277,-0.000218971,-55.71649399,-0.134126651,-7.684891043
5.754399373,0.76,0.001626477,-0.000225314,-55.69248911,-0.137652713,-7.886919509
5.888436554,0.77,0.001630366,-0.000231903,-55.667307,-0.141291962,-8.095433107
6.025595861,0.78,0.001634447,-0.000238753,-55.64088778,-0.145049556,-8.310727387
6.165950019,0.79,0.001638729,-0.000245878,-55.61316833,-0.148930994,-8.533117418
6.309573445,0.8,0.001643223,-0.000253296,-55.5840821,-0.152942146,-8.762939461
6.45654229,0.81,0.00164794,-0.000261024,-55.55355893,-0.157089281,-9.000552813
6.60693448,0.82,0.00165289,-0.000269082,-55.52152479,-0.161379109,-9.24634185
6.760829754,0.83,0.001658085,-0.00027749,-55.48790161,-0.165818815,-9.50071828
6.918309709,0.84,0.001663537,-0.00028627,-55.45260698,-0.170416106,-9.764123637
7.079457844,0.85,0.001669261,-0.000295448,-55.41555392,-0.175179256,-10.03703205
7.244359601,0.86,0.001675268,-0.000305051,-55.37665063,-0.180117164,-10.31995331
7.413102413,0.87,0.001681574,-0.000315106,-55.33580017,-0.185239409,-10.61343631
7.58577575,0.88,0.001688192,-0.000325647,-55.29290014,-0.190556319,-10.91807281
7.762471166,0.89,0.001695138,-0.000336707,-55.24784242,-0.196079045,-11.23450173
7.943282347,0.9,0.001702429,-0.000348326,-55.20051279,-0.201819645,-11.56341386
8.128305162,0.91,0.00171008,-0.000360544,-55.15079056,-0.207791172,-11.90555719
8.317637711,0.92,0.001718108,-0.000373407,-55.09854826,-0.214007785,-12.26174286
8.511380382,0.93,0.001726531,-0.000386965,-55.04365118,-0.220484859,-12.63285187
8.7096359,0.94,0.001735367,-0.000401274,-54.98595706,-0.227239121,-13.01984256
8.912509381,0.95,0.001744633,-0.000416395,-54.9253156,-0.234288795,-13.42375914
9.120108394,0.96,0.001754347,-0.000432394,-54.86156811,-0.241653772,-13.84574125
9.332543008,0.97,0.001764528,-0.000449347,-54.79454709,-0.249355797,-14.28703479
9.54992586,0.98,0.001775192,-0.000467336,-54.72407582,-0.257418685,-14.74900419
9.77237221,0.99,0.001786356,-0.000486452,-54.64996799,-0.26586856,-15.23314639
10,1,0.001798035,-0.000506797,-54.57202737,-0.274734138,-15.7411066
10.23292992,1.01,0.001810243,-0.000528484,-54.49004752,-0.284047037,-16.27469643
10.47128548,1.02,0.001822989,-0.00055164,-54.40381163,-0.29384214,-16.83591444
10.71519305,1.03,0.001836281,-0.000576405,-54.3130924,-0.304157999,-17.42696967
10.96478196,1.04,0.001850119,-0.000602937,-54.21765219,-0.315037315,-18.05030854
11.22018454,1.05,0.001864499,-0.000631412,-54.11724332,-0.326527466,-18.7086457
11.48153621,1.06,0.001879405,-0.000662027,-54.01160878,-0.33868113,-19.40499936
11.74897555,1.07,0.001894813,-0.000695006,-53.90048322,-0.351556991,-20.14273185
12.02264435,1.08,0.001910681,-0.000730596,-53.78359469,-0.365220551,-20.92559615
12.30268771,1.09,0.001926947,-0.000769078,-53.66066697,-0.379745061,-21.75778927
12.58925412,1.1,0.001943526,-0.000810764,-53.531423,-0.39521259,-22.64401343
12.88249552,1.11,0.0019603,-0.000856008,-53.39558957,-0.411715246,-23.58954597
13.18256739,1.12,0.001977108,-0.000905204,-53.25290374,-0.429356566,-24.60031913
13.48962883,1.13,0.001993737,-0.000958793,-53.10312158,-0.448253093,-25.68301039
13.80384265,1.14,0.002009905,-0.001017264,-52.94602973,-0.468536155,-26.84514426
14.12537545,1.15,0.002025244,-0.001081162,-52.781461,-0.490353839,-28.09520545
14.45439771,1.16,0.002039277,-0.00115108,-52.6093148,-0.513873154,-29.44276296
14.79108388,1.17,0.002051385,-0.001227661,-52.42958415,-0.539282348,-30.8986025
15.13561248,1.18,0.002060777,-0.001311589,-52.2423909,-0.566793282,-32.47486293
15.48816619,1.19,0.002066439,-0.001403569,-52.04803152,-0.596643735,-34.18516788
15.84893192,1.2,0.002067089,-0.001504296,-51.84703588,-0.629099363,-36.0447384
16.21810097,1.21,0.002061115,-0.001614406,-51.64024213,-0.664454938,-38.07046363
16.59586907,1.22,0.00204651,-0.001734394,-51.42889033,-0.703034231,-40.28089431
16.98243652,1.23,0.002020818,-0.001864503,-51.21473724,-0.74518765,-42.69610727
17.37800829,1.24,0.001981085,-0.002004553,-51.00019272,-0.791286341,-45.33736774
17.7827941,1.25,0.001923857,-0.002153721,-50.7884744,-0.84171107,-48.22649189
18.19700859,1.26,0.001845256,-0.002310254,-50.58377091,-0.896833765,-51.38478966
18.62087137,1.27,0.001741167,-0.002471141,-50.39139323,-0.956989474,-54.83145793
19.05460718,1.28,0.001607621,-0.002631776,-50.21787883,-1.022436872,-58.58131759
19.498446,1.29,0.001441397,-0.002785719,-50.07099607,-1.093306932,-62.6418729
19.95262315,1.3,0.001240861,-0.002924682,-49.95958157,-1.169542499,-67.00984917
20.41737945,1.31,0.001006938,-0.003038943,-49.89314284,-1.250836397,-71.66764638
20.89296131,1.32,0.000744007,-0.003118302,-49.88118639,-1.336581576,-76.58048328
21.3796209,1.33,0.000460327,-0.003153602,-49.93229944,-1.425851221,-81.69525717
21.87761624,1.34,0.000167664,-0.003138524,-50.05311327,-1.517425733,-86.94209025
22.38721139,1.35,-0.000120075,-0.003071141,-50.24737058,-1.609874212,-92.23899788
22.90867653,1.36,-0.000388939,-0.002954622,-50.51534883,-1.701681409,-97.49916282
23.44228815,1.37,-0.000627166,-0.00279676,-50.8538161,-1.791394197,-102.639327
23.98832919,1.38,-0.000826817,-0.002608456,-51.2565334,-1.877753591,-107.5873558
24.54708916,1.39,-0.000984398,-0.002401718,-51.71514817,-1.959784329,-112.2873708
25.11886432,1.4,-0.001100449,-0.002187831,-52.22023113,-2.036830152,-116.7017713
25.70395783,1.41,-0.001178496,-0.001976125,-52.76222399,-2.108540187,-120.8104536
26.30267992,1.42,-0.001223801,-0.00177346,-53.33215358,-2.174822504,-124.6081507
26.91534804,1.43,-0.00124227,-0.001584272,-53.92207033,-2.235783062,-128.1009334
27.54228703,1.44,-0.00123967,-0.001410953,-54.52524315,-2.291664404,-131.3026984
28.18382931,1.45,-0.001221173,-0.001254351,-55.13617617,-2.342792644,-134.2321308
28.84031503,1.46,-0.001191151,-0.001114257,-55.75051623,-2.389536106,-136.9103339
29.51209227,1.47,-0.00115315,-0.000989797,-56.36490603,-2.432275609,-139.359127
30.1995172,1.48,-0.001109953,-0.000879741,-56.97682119,-2.471384677,-141.5999116
30.90295433,1.49,-0.001063687,-0.0007827,-57.58441328,-2.507217423,-143.6529767
31.6227766,1.5,-0.001015941,-0.000697268,-58.18637028,-2.540101968,-145.5371223
32.35936569,1.51,-0.000967879,-0.000622095,-58.7817985,-2.570337625,-147.2694979
33.11311215,1.52,-0.000920334,-0.000555935,-59.37012565,-2.598194504,-148.8655794
33.88441561,1.53,-0.000873884,-0.000497662,-59.95102338,-2.623914581,-150.3392313
34.67368505,1.54,-0.00082892,-0.000446275,-60.52434606,-2.647713587,-151.7028139
35.48133892,1.55,-0.000785688,-0.000400893,-61.09008329,-2.669783267,-152.9673134
36.30780548,1.56,-0.000744336,-0.000360748,-61.64832311,-2.690293766,-154.1424784
37.15352291,1.57,-0.000704932,-0.000325173,-62.19922389,-2.709395954,-155.2369532
38.01893963,1.58,-0.000667494,-0.000293587,-62.74299296,-2.727223617,-156.2584031
38.9045145,1.59,-0.000631999,-0.000265491,-63.27987038,-2.743895468,-157.2136298
39.81071706,1.6,-0.0005984,-0.00024045,-63.81011677,-2.759516949,-158.1086747
40.73802778,1.61,-0.000566634,-0.00021809,-64.33400422,-2.774181842,-158.9489111
41.68693835,1.62,-0.000536625,-0.000198087,-64.85180954,-2.787973684,-159.7391255
42.65795188,1.63,-0.000508291,-0.000180159,-65.36380933,-2.80096702,-160.4835888
43.65158322,1.64,-0.000481548,-0.000164062,-65.87027639,-2.813228487,-161.1861191
44.66835922,1.65,-0.000456312,-0.000149585,-66.3714772,-2.824817768,-161.850136
45.70881896,1.66,-0.000432499,-0.000136543,-66.86767017,-2.835788422,-162.4787081
46.77351413,1.67,-0.000410028,-0.000124775,-67.35910445,-2.846188606,-163.0745948
47.86300923,1.68,-0.000388821,-0.000114139,-67.84601928,-2.856061705,-163.6402818
48.97788194,1.69,-0.000368803,-0.000104514,-68.32864356,-2.865446885,-164.178013
50.11872336,1.7,-0.000349903,-9.57894E-05,-68.80719573,-2.874379567,-164.6898179
51.2861384,1.71,-0.000332053,-8.78716E-05,-69.28188382,-2.88289185,-165.1775358
52.48074602,1.72,-0.000315192,-8.06764E-05,-69.75290564,-2.891012876,-165.6428363
53.70317964,1.73,-0.000299258,-7.41296E-05,-70.22044899,-2.898769153,-166.0872382
54.95408739,1.74,-0.000284197,-6.8166E-05,-70.68469207,-2.906184837,-166.5121256
56.23413252,1.75,-0.000269955,-6.27273E-05,-71.14580377,-2.913281977,-166.9187618
57.54399373,1.76,-0.000256484,-5.7762E-05,-71.60394414,-2.92008074,-167.3083022
58.88436554,1.77,-0.000243737,-5.32244E-05,-72.05926472,-2.926599595,-167.6818051
60.25595861,1.78,-0.000231672,-4.90734E-05,-72.51190901,-2.932855492,-168.0402416
61.65950019,1.79,-0.000220249,-4.52726E-05,-72.96201286,-2.938864006,-168.3845041
63.09573445,1.8,-0.000209429,-4.17894E-05,-73.40970483,-2.944639475,-168.7154141
64.5654229,1.81,-0.000199178,-3.85946E-05,-73.85510663,-2.950195117,-169.033729
66.0693448,1.82,-0.000189462,-3.56618E-05,-74.29833346,-2.955543138,-169.340148
67.60829754,1.83,-0.000180252,-3.29676E-05,-74.73949438,-2.960694824,-169.6353178
69.18309709,1.84,-0.000171518,-3.04907E-05,-75.17869264,-2.965660624,-169.9198372
70.79457844,1.85,-0.000163233,-2.8212E-05,-75.616026,-2.97045023,-170.1942614
72.44359601,1.86,-0.000155371,-2.61143E-05,-76.05158704,-2.975072641,-170.4591061
74.13102413,1.87,-0.00014791,-2.41819E-05,-76.48546348,-2.979536225,-170.7148506
75.8577575,1.88,-0.000140827,-2.24008E-05,-76.9177384,-2.983848773,-170.9619414
77.62471166,1.89,-0.000134102,-2.07581E-05,-77.34849055,-2.988017548,-171.2007946
79.43282347,1.9,-0.000127713,-1.92423E-05,-77.77779454,-2.992049331,-171.4317987
81.28305162,1.91,-0.000121644,-1.78429E-05,-78.20572114,-2.995950456,-171.6553168
83.17637711,1.92,-0.000115877,-1.65502E-05,-78.63233744,-2.999726854,-171.8716884
85.11380382,1.93,-0.000110396,-1.53556E-05,-79.05770707,-3.003384078,-172.0812319
87.096359,1.94,-0.000105185,-1.42511E-05,-79.48189041,-3.006927338,-172.2842458
89.12509381,1.95,-0.000100231,-1.32295E-05,-79.90494472,-3.010361525,-172.4810102
91.20108394,1.96,-9.55194E-05,-1.22841E-05,-80.32692439,-3.013691236,-172.6717886
93.32543008,1.97,-9.10379E-05,-1.1409E-05,-80.74788102,-3.016920799,-172.8568289
95.4992586,1.98,-8.67743E-05,-1.05986E-05,-81.16786363,-3.020054288,-173.0363646
97.7237221,1.99,-8.27176E-05,-9.84793E-06,-81.58691875,-3.023095548,-173.2106159
100,2,-7.88569E-05,-9.15225E-06,-82.0050906,-3.026048205,-173.3797907
